bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image
Phalacrocorax niger,Little Cormorant,"Black,Grey,White,Brown",M/F,Pigeon +,http://en.wikipedia.org/wiki/Little_Cormorant
Tachybaptus ruficollis,Little Grebe,"Brown,Black,White",M/F,Myna +,http://en.wikipedia.org/wiki/Little_Grebe
Mesophoyx intermedia ,Intermediate Egret ,White,M,Kite +,http://en.wikipedia.org/wiki/Intermediate_Egret
Mesophoyx intermedia ,Intermediate Egret ,White,F,Kite +,http://en.wikipedia.org/wiki/Intermediate_Egret
Bubulcus ibis,Cattle Egret,"White,Yellow,Orange",M/F,Hen +,http://en.wikipedia.org/wiki/Cattle_Egret
Ardeola grayii ,Indian Pond-heron ,"White,Brown,Red",M/F,Hen,http://en.wikipedia.org/wiki/Indian_Pond_Heron
Dendrocygna javanica,Lesser Whistling-duck,"Brown,White",M/F,Hen +,http://en.wikipedia.org/wiki/Lesser_Whistling_Duck
Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),"Brown,Blue,Green,White",M,Hen +,http://en.wikipedia.org/wiki/Spot-billed_Duck
Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),"Brown,Blue,White",F,Hen +,http://en.wikipedia.org/wiki/Spot-billed_Duck
Anas acuta,Northern Pintail,"Brown,Grey,White,Black,Yellow,Orange",M,Hen +,http://en.wikipedia.org/wiki/Northern_Pintail
Anas acuta,Northern Pintail,Brown,F,Hen +,http://en.wikipedia.org/wiki/Northern_Pintail
Anas clypeata,Northern Shoveller,"Green,Brown,White,Black",M,Hen +,http://en.wikipedia.org/wiki/Northern_Shoveler
Anas clypeata,Northern Shoveller,"Brown,White",F,Hen +,http://en.wikipedia.org/wiki/Northern_Shoveler
Anas penelope,Eurasian Wigeon,"Grey,Brown,Black,White,Green",M,Hen +,http://en.wikipedia.org/wiki/Eurasian_Wigeon
Anas penelope,Eurasian Wigeon,"Grey,Brown,Black,White",F,Hen +,http://en.wikipedia.org/wiki/Eurasian_Wigeon
Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),"Black,White,Green,Grey",M,Hen -,http://en.wikipedia.org/wiki/Cotton_Pygmy_Goose
Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),"Brown,White,Green,Grey",F,Hen -,http://en.wikipedia.org/wiki/Cotton_Pygmy_Goose
Pernis ptilorhyncus,Oriental Honey-buzzard,"Brown,Grey",M/F,Kite +,http://en.wikipedia.org/wiki/Crested_Honey_Buzzard
Elanus caeruleus ,Black-winged Kite (Black-shouldered Kite),"Grey,White,Black",M/F,Pigeon +,http://en.wikipedia.org/wiki/Black-winged_Kite
Milvus migrans,Black Kite,"Brown,Grey",M/F,Kite  ,http://en.wikipedia.org/wiki/Black_Kite
Haliastur indus,Brahminy Kite,"Red,White,Brown",M/F,Kite,http://en.wikipedia.org/wiki/Brahminy_Kite
Accipiter badius ,Shikra ,"Grey,White,Brown",M,Pigeon -,http://en.wikipedia.org/wiki/Shikra
Accipiter badius ,Shikra,"Grey,White,Brown",F,Pigeon -,http://en.wikipedia.org/wiki/Shikra
Accipiter nisus,Eurasian Sparrowhawk,"Grey,Brown",M,Kite -,http://en.wikipedia.org/wiki/Eurasian_Sparrowhawk
Accipiter nisus,Eurasian Sparrowhawk,"Grey,Brown",F,Kite -,http://en.wikipedia.org/wiki/Eurasian_Sparrowhawk
Spizaetus cirrhatus,Changeable Hawk-Eagle,"Brown,White,Black",M/F,Kite +,http://en.wikipedia.org/wiki/Changeable_Hawk-Eagle
Hieraaetus fasciatus ,Bonelli’s Eagle,"Brown,Black",M/F,Kite +,http://en.wikipedia.org/wiki/Bonelli's_Eagle
Hieraaetus pennatus,Booted Eagle,"Brown,White,Black",M/F,Kite +,http://en.wikipedia.org/wiki/Booted_Eagle
Aquila rapax,Tawny Eagle,Brown,M/F,Kite +,http://en.wikipedia.org/wiki/Tawny_Eagle
Aquila pomarina,Indian Spotted Eagle (Lesser Spotted Eagle),"Brown,White",M/F,Kite +,http://en.wikipedia.org/wiki/Indian_Spotted_Eagle
Neophron percnopterus,Egyptian Vulture,"White,Grey,Brown,Yellow",M/F,Kite +,http://en.wikipedia.org/wiki/Egyptian_Vulture
Gyps fulvus,Griffon Vulture (Eurasian Griffon),"Brown,Grey,White,Black",M/F,Vulture,http://en.wikipedia.org/wiki/Griffon_Vulture
Gyps indicus,Indian Vulture (Long-billed Vulture),"Brown,Grey,White,Black",M/F,Vulture,http://en.wikipedia.org/wiki/Indian_Vulture
Gyps bengalensis,White-rumped Vulture,"Brown,White,Grey,Black",M/F,Vulture,http://en.wikipedia.org/wiki/White-rumped_Vulture
Circus pygargus,Montagu’s Harrier,"Grey,Black,White,Brown",M,Kite ,http://en.wikipedia.org/wiki/Montagu's_Harrier
Circus pygargus,Montagu’s Harrier,"Brown,White",F,Kite ,http://en.wikipedia.org/wiki/Montagu's_Harrier
Circus macrourus,Pallid Harrier,"Grey,Black,White ",M,Kite,http://en.wikipedia.org/wiki/Pallid_Harrier
Circus macrourus,Pallid Harrier,"Brown,White",F,Kite,http://en.wikipedia.org/wiki/Pallid_Harrier
Spilornis cheela,Crested Serpent-eagle,"Brown,White,Black",M/F,Kite +,http://en.wikipedia.org/wiki/Crested_Serpent_Eagle
Falco peregrinus,Peregrine Falcon,"Black,White,Brown,Yellow",M/F,Kite -,http://en.wikipedia.org/wiki/Peregrine_Falcon
Falco tinnunculus ,Common Kestrel,"Brown,Grey,Yellow",M/F,Pigeon,http://en.wikipedia.org/wiki/Common_Kestrel
Galloperdix spadicea,Red Spurfowl,"Red,Brown,Grey,Black,Pink",M,Hen,http://en.wikipedia.org/wiki/Red_Spurfowl
Galloperdix spadicea,Red Spurfowl,"Brown,Black,Grey",F,Hen,http://en.wikipedia.org/wiki/Red_Spurfowl
Francolinus pondicerianus,Grey Francolin,"Grey,Brown,Yellow",M/F,Hen,http://en.wikipedia.org/wiki/Grey_Francolin
Francolinus pictus,Painted Francolin,"Black,White,Brown",M,Hen,http://en.wikipedia.org/wiki/Painted_Francolin
Francolinus pictus,Painted Francolin,Brown,F,Hen,http://en.wikipedia.org/wiki/Painted_Francolin
Coturnix coromandelica,Rain Quail,"Brown,Black,White",M,Myna +,http://en.wikipedia.org/wiki/Rain_Quail
Coturnix coromandelica,Rain Quail,"Brown,White",F,Myna +,http://en.wikipedia.org/wiki/Rain_Quail
Perdicula argoondah,Rock Bush-quail,"Brown,Black,White",M,Myna +,http://en.wikipedia.org/wiki/Rock_Bush_Quail
Perdicula argoondah,Rock Bush-quail,"Brown,White",F,Myna +,http://en.wikipedia.org/wiki/Rock_Bush_Quail
Turnix tanki,Yellow-legged Buttonquail,"Brown,orange,Brown,Black,White",M,Myna +,http://en.wikipedia.org/wiki/Yellow-legged_Buttonquail
Turnix tanki,Yellow-legged Buttonquail,"Brown,Black,White",F,Myna +,http://en.wikipedia.org/wiki/Yellow-legged_Buttonquail
Pavo Cristatus,Indian Peafowl,"Blue,Green,Brown,White,Black",M,Vulture +,http://en.wikipedia.org/wiki/Indian_Peafowl
